properties.address_line1,properties.address_line2,properties.categories
Mmmm,"2519 Northwest 2nd Avenue, Miami, FL 33136, United States of America","['catering', 'catering.restaurant']"
Wynwood Kitchen & Bar,"Northwest 26th Street, Miami, FL 33127, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
73 Northwest 27th Street,"Miami, FL 33127, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
The Taco Stand,"313 Northwest 25th Street, Miami, FL 33127, United States of America","['catering', 'catering.fast_food']"
Dōma,"35 Northeast 26th Street, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
Jugofresh,"Northwest 26th Street, Miami, FL 33127, United States of America","['catering', 'catering.restaurant']"
Wynwood Diner,"Northwest 26th Street, Miami, FL 33127, United States of America","['catering', 'catering.restaurant']"
Shelter Restaurant - Miami,"10 Northeast 27th Street, Miami, FL 33137, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
Lung Yai Thai Tappas,"1731 Southwest 8th Street, Miami, FL 33135, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.thai']"
Beaker and gray,"2637 North Miami Avenue, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
Serendipity,"421 Northwest 26th Street, Miami, FL 33127, United States of America","['catering', 'catering.fast_food']"
Suviche,"2751 North Miami Avenue, Miami, FL 33137, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.sushi']"
Love Life Café,"Northwest 5th Avenue, Miami, FL 33127, United States of America","['catering', 'catering.restaurant']"
Bariloche Gourmet,"1198 Southwest 17th Avenue, Miami, FL 33135, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.argentinian']"
Pride and Joy BBQ,"2800 North Miami Avenue, Miami, FL 33127, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.barbecue']"
Exupery Burger & Tacos,"Southwest 8th Street, Miami, FL 33135, United States of America","['catering', 'catering.restaurant']"
Bakan Wynwood,"2801 Northwest 2nd Avenue, Miami, FL 33127, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
Morgan's,"Northeast 29th Street, Miami, FL 33137, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
Mykonos,"1201 Southwest 22nd Street, Miami, FL 33145, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.greek']"
El Rey de las Fritas,"1815 Southwest 8th Street, Miami, FL 33135, United States of America","['catering', 'catering.restaurant']"
Flyfuel Food Co.,"154 Northeast 29th Street, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
Enriqueta's Sandwich Shop,"186 Northeast 29th Street, Miami, FL 33137, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.cuban']"
Presidente Supermarket,"1895 Southwest 8th Street, Miami, FL 33135, United States of America","['building', 'building.commercial', 'commercial', 'commercial.supermarket']"
Hometown Barbecue,"1200 Northwest 22nd Street, Miami, FL 33142, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.barbecue']"
Salsa Fiesta,"Biscayne Boulevard, Miami, FL 33137, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.mexican']"
Rusty Pelican,"3201 Rickenbacker Causeway, Miami, FL 33149, United States of America","['catering', 'catering.restaurant']"
Mi rinconcito mexicano,"Southwest 8th Street, Miami, FL 33135, United States of America","['catering', 'catering.restaurant']"
Asian Thai Kitchen,"Southwest 8th Street, Miami, FL 33135, United States of America","['catering', 'catering.restaurant']"
Popeyes,"1501 Northwest 20th Street, Miami, FL 33142, United States of America","['building', 'building.catering', 'building.commercial', 'catering', 'catering.fast_food']"
Amara at Paraiso,"3101 Northeast 7th Avenue, Miami, FL 33137, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
Latin American,"Southwest 22nd Street, Miami, FL 33129, United States of America","['catering', 'catering.restaurant']"
Fritanga La Gata,"Southwest 21st Court, Miami, FL 33135, United States of America","['catering', 'catering.fast_food']"
Publix,"Southwest 22nd Avenue, Miami, FL 33135, United States of America","['commercial', 'commercial.supermarket']"
Los Nuevos Jarritos,"Southwest 22nd Avenue, Miami, FL 33133, United States of America","['catering', 'catering.restaurant']"
Rubio's,"3201 North Miami Avenue, Miami, FL 33137, United States of America","['catering', 'catering.fast_food']"
Wendy's,"3301 Biscayne Boulevard, Miami, FL 33137, United States of America","['building', 'building.catering', 'catering', 'catering.fast_food', 'catering.fast_food.burger']"
Lagniappe,"3425 Northeast 2nd Avenue, Miami, FL 33137, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.barbecue', 'vegetarian']"
Pollo Tropical,"332 Northeast 35th Street, Miami, FL 33137, United States of America","['building', 'building.catering', 'catering', 'catering.fast_food']"
Coral House Italian Restaurant,"1762 Southwest 22nd Street, Miami, FL 33145, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
McDonald's,"3501 Biscayne Boulevard, Miami, FL 33137, United States of America","['building', 'building.catering', 'catering', 'catering.fast_food', 'catering.fast_food.burger']"
Atlantica Seafood Restaurant and Market,"Vero Street, Miami, FL 33131, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.seafood']"
Taco Bell,"3595 Biscayne Boulevard, Miami, FL 33137, United States of America","['building', 'building.catering', 'catering', 'catering.fast_food']"
Denny's,"3600 Biscayne Boulevard, Miami, FL 33137, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.american']"
Casola's Pizzeria & Sub Shop,"2437 Southwest 17th Avenue, Miami, FL 33145, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
Old Greg’s Pizza,"3620 Northeast 2nd Avenue, Miami, FL 33137, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.regional', 'vegan', 'vegetarian']"
Rey's Pizza,"2391 West Flagler Street, Miami, FL 33135, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.cuban']"
Burger King,"1 Southwest 24th Avenue, Miami, FL 33135, United States of America","['building', 'building.catering', 'catering', 'catering.fast_food', 'catering.fast_food.burger']"
Taco Bell,"Southwest 8th Street, Miami, FL 33135, United States of America","['catering', 'catering.fast_food']"
Quiznos,"2490 Southwest 17th Avenue, Miami, FL 33145, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']"
KFC,"Southwest 8th Street, Miami, FL 33135, United States of America","['catering', 'catering.fast_food']"
ITAMAE,"140 Northeast 39th Street, Miami, FL 33137, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.japanese']"
PURA VIDA,"3818 Northeast 1st Avenue, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
Northeast 39th Street,"Miami, FL 33137, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
MIA MARKET,"140 Northeast 39th Street, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
SWAN & BAR BEVY,"90 Northeast 39th Street, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
Harry's Pizzeria,"3918 North Miami Avenue, Miami, FL 33127, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.pizza']"
COTE MIAMI,"3900 Northeast 2nd Avenue, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
MICHAEL'S GENUINE FOOD & DRINK,"130 Northeast 40th Street, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
Casa Juancho,"2436 Southwest 8th Street, Miami, FL 33135, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
Tacomi,"3930 Northeast 2nd Avenue, Miami, FL 33137, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.mexican']"
